Name,VisitorReviews,BlogReviews,Rating,GuAddr,DongAddr
스타벅스 도봉로DT점,6536,188,4.48,도봉구,쌍문동
스타벅스 상왕십리역점,302,32,4.44,성동구,하왕십리동
스타벅스 서울고속터미널점,4574,91,4.45,서초구,반포동
스타벅스 구파발역점,7203,150,4.49,은평구,진관동
스타벅스 길동역점,5571,113,4.49,강동구,길동
스타벅스 압구정미소점,5192,86,4.44,강남구,신사동
스타벅스 하이브랜드점,4578,119,4.47,서초구,양재2동
스타벅스 불광역점,5404,189,4.47,은평구,대조동
스타벅스 사당로데오점,6189,121,4.39,서초구,방배동
스타벅스 신설동역점,4895,122,4.46,동대문구,신설동
스타벅스 구로오류DT점,5130,127,4.46,구로구,오류동
스타벅스 동부이촌동점,953,58,4.44,용산구,이촌동
스타벅스 한성대입구역점,2277,226,4.44,성북구,성북동1가
스타벅스 석촌호수점,5057,102,4.46,송파구,송파동
스타벅스 연희DT점,6675,361,4.47,서대문구,연희동
스타벅스 가양역점,4213,179,4.47,강서구,등촌동
스타벅스 금천독산점,5153,123,4.53,금천구,독산동
스타벅스 마리오아울렛점,4455,119,4.46,금천구,가산동
스타벅스 새절역점,5332,102,4.46,은평구,신사동
스타벅스 강남비젼타워점,485,54,4.47,강남구,역삼동
스타벅스 서울역동자동점,4806,160,4.44,용산구,동자동
스타벅스 언주역점,4026,114,4.44,강남구,역삼동
스타벅스 신금호역점,470,25,4.44,성동구,금호동1가
스타벅스 고대안암병원점,669,37,4.44,성북구,안암동5가
스타벅스 광화문D타워점,1454,44,4.46,종로구,청진동
스타벅스 서래마을입구점,6756,286,4.48,서초구,반포동
스타벅스 녹번역점,2511,94,4.48,은평구,녹번동
스타벅스 가재울뉴타운점,875,32,4.44,서대문구,남가좌동
스타벅스 태릉입구역DT점,4513,59,4.52,노원구,공릉동
스타벅스 이대역점,2403,94,4.52,서대문구,대현동
스타벅스 노원KT점,531,30,4.36,노원구,상계동
스타벅스 뚝섬역점,7159,160,4.49,성동구,성수동1가
스타벅스 현대신촌점,6534,147,4.41,서대문구,창천동
스타벅스 강동암사DT점,2283,28,4.53,강동구,암사동
스타벅스 독산사거리점,4260,103,4.48,금천구,독산동
스타벅스 대치한티점,3304,56,4.47,강남구,대치동
스타벅스 서울세관사거리점,2172,51,4.45,강남구,논현동
스타벅스 오류동역점,3092,76,4.5,구로구,오류동
스타벅스 반포역점,4679,125,4.3,서초구,잠원동
스타벅스 파라스파라서울점,1743,95,4.31,강북구,우이동
스타벅스 남부터미널2점,1953,170,4.44,서초구,서초동
스타벅스 외대정문점,4295,80,4.49,동대문구,이문동
스타벅스 망원역점,4269,58,4.44,마포구,서교동
스타벅스 국회대로점,7372,215,4.44,영등포구,여의도동
스타벅스 상암DMC점,2937,70,4.52,마포구,상암동
스타벅스 신정DT점,3524,134,4.45,양천구,신정동
스타벅스 선릉세화빌딩점,5980,193,4.49,강남구,대치동
스타벅스 충정로역점,4291,135,4.48,서대문구,충정로3가
스타벅스 여의도ABL타워점,2815,69,4.51,영등포구,여의도동
스타벅스 마곡나루역점,3083,38,4.36,강서구,마곡동
스타벅스 강남우성점,6014,163,4.45,강남구,역삼동
스타벅스 신당역사거리점,4080,102,4.46,중구,흥인동
스타벅스 강남오거리점,4936,63,4.49,강남구,역삼동
스타벅스 상도역점,4084,145,4.51,동작구,상도1동
스타벅스 방이역점,3715,118,4.45,송파구,오금동
스타벅스 홍대역8번출구점,3605,139,4.48,마포구,동교동
스타벅스 군자사거리점,3605,121,4.37,광진구,중곡동
스타벅스 양천향교역점,2308,63,4.51,강서구,마곡동
스타벅스 여의도역R점,4376,102,4.49,영등포구,여의도동
스타벅스 명일역점,4618,185,4.45,강동구,명일동
스타벅스 가락시장역점,4024,127,4.43,송파구,가락동
스타벅스 당산역사거리점,4227,121,4.53,영등포구,당산동5가
스타벅스 소공로점,4008,77,4.46,중구,소공동
스타벅스 남성역점,8623,58,4.5,동작구,사당동
스타벅스 강남역신분당역사점,4218,51,4.5,강남구,역삼동
스타벅스 서초우성사거리점,807,51,4.53,서초구,서초동
스타벅스 숙명여대정문점,4186,60,4.53,용산구,청파동2가
스타벅스 문래역점,1027,39,4.4,영등포구,문래동3가
스타벅스 숙대입구역점,7150,129,4.47,용산구,갈월동
스타벅스 대우재단빌딩점,3403,111,4.48,중구,남대문로5가
스타벅스 경희궁로점,3381,98,4.47,종로구,당주동
스타벅스 광장점,3653,45,4.37,광진구,광장동
스타벅스 삼성역점,2556,47,4.37,강남구,대치동
스타벅스 신대방삼거리역점,848,28,4.45,동작구,상도동
스타벅스 학동사거리점,6866,142,4.45,강남구,논현2동
스타벅스 순천향입구점,4495,178,4.41,용산구,한남동
스타벅스 학동역점,4394,89,4.47,강남구,논현동
스타벅스 송파사거리점,4415,170,4.5,송파구,송파동
스타벅스 중랑역점,3113,127,4.5,중랑구,상봉동
스타벅스 타임스퀘어B2점,5192,111,4.44,영등포구,영등포동4가
스타벅스 연희동점,5694,46,4.45,서대문구,연희동
스타벅스 은행사거리점,3079,79,4.36,노원구,중계동
스타벅스 천호역점,5466,73,4.49,강동구,성내동
스타벅스 신사역성일빌딩점,3789,91,4.5,강남구,논현동
스타벅스 신세계본점6F점,3722,54,4.51,중구,충무로1가
스타벅스 구로NC점,2642,88,4.48,구로구,구로동
스타벅스 중화역점,5183,87,4.37,중랑구,중화동
스타벅스 가락본동점,2905,55,4.45,송파구,가락동
스타벅스 건국클래식점,2723,88,4.46,광진구,자양동
스타벅스 마포일진빌딩점,3306,74,4.44,마포구,도화동
스타벅스 화곡동점,4662,115,4.44,강서구,화곡동
스타벅스 장위뉴타운점,6135,114,4.42,성북구,장위동
스타벅스 중계역점,1931,36,4.42,노원구,상계동
스타벅스 동숭길입구점,8187,149,4.44,종로구,혜화동
스타벅스 독산역점,3670,84,4.44,금천구,가산동
스타벅스 숙대점,1571,40,4.47,용산구,청파동3가
스타벅스 중곡역점,3526,120,4.47,광진구,중곡동
스타벅스 서울타워점,1862,32,4.41,용산구,용산동2가
스타벅스 상계초교사거리점,3127,103,4.43,노원구,상계동
스타벅스 경리단길점,6628,118,4.43,용산구,이태원동
스타벅스 명일이마트점,608,20,4.43,강동구,명일동
스타벅스 석촌서호점,5542,97,4.48,송파구,삼전동
스타벅스 송파위례점,5292,127,4.41,송파구,장지동
스타벅스 종로플레이스점,2902,139,4.57,종로구,인의동
스타벅스 은평이마트점,1941,43,4.41,은평구,응암동
